muni,muniLabel,district,districtLabel,properties,object,population
http://www.wikidata.org/entity/Q65868,Bäretswil,http://www.wikidata.org/entity/Q660382,Hinwil District,58,87,5026
http://www.wikidata.org/entity/Q67062,Boppelsen,http://www.wikidata.org/entity/Q660407,Dielsdorf district,58,75,1365
http://www.wikidata.org/entity/Q67310,Seegräben,http://www.wikidata.org/entity/Q660382,Hinwil District,58,78,1426
http://www.wikidata.org/entity/Q67884,Schleinikon,http://www.wikidata.org/entity/Q660407,Dielsdorf district,58,76,736
http://www.wikidata.org/entity/Q67933,Trüllikon,http://www.wikidata.org/entity/Q660721,Andelfingen District,58,83,1054
http://www.wikidata.org/entity/Q67957,Russikon,http://www.wikidata.org/entity/Q660395,Pfäffikon District,58,81,4355
http://www.wikidata.org/entity/Q68342,Aesch,http://www.wikidata.org/entity/Q180792,Dietikon District,58,80,1341
http://www.wikidata.org/entity/Q68395,Neerach,http://www.wikidata.org/entity/Q660407,Dielsdorf district,58,75,3140
http://www.wikidata.org/entity/Q69367,Hüntwangen,http://www.wikidata.org/entity/Q680996,Bülach District,58,84,1020
http://www.wikidata.org/entity/Q69887,Bachenbülach,http://www.wikidata.org/entity/Q680996,Bülach District,58,81,4092
http://www.wikidata.org/entity/Q70072,Truttikon,http://www.wikidata.org/entity/Q660721,Andelfingen District,58,73,477
http://www.wikidata.org/entity/Q70131,Dänikon,http://www.wikidata.org/entity/Q660407,Dielsdorf district,58,84,1869
http://www.wikidata.org/entity/Q70273,Bachs,http://www.wikidata.org/entity/Q660407,Dielsdorf district,58,71,588
http://www.wikidata.org/entity/Q70295,Schöfflisdorf,http://www.wikidata.org/entity/Q660407,Dielsdorf district,58,77,1398
http://www.wikidata.org/entity/Q70377,Höri,http://www.wikidata.org/entity/Q680996,Bülach District,58,82,2721
http://www.wikidata.org/entity/Q68437,Dägerlen,http://www.wikidata.org/entity/Q644300,Winterthur District,58,81,1012
http://www.wikidata.org/entity/Q66588,Winkel,http://www.wikidata.org/entity/Q680996,Bülach District,57,71,4511
http://www.wikidata.org/entity/Q65759,Lindau,http://www.wikidata.org/entity/Q660395,Pfäffikon District,57,81,5621
